"","Y","X1","X2","X3","X4"
"1",11952.35,99.72,99.05,99.25,99.3
"2",12022.39,99.44,99.89,99.84,100.44
"3",11988.09,100.43,98.62,99.87,99.83
"4",11991.31,100.1,99.61,98.75,101.28
"5",12240.01,101.43,101.2,101.38,102.34
"6",12019.97,100.26,99.18,100.04,100.22
"7",12068.87,99.68,100.82,100.29,100.79
"8",11965.66,99.19,98.5,100.28,99.44
"9",11915.03,98.86,99.68,98.79,99.26
"10",12005.44,99.16,100.35,99.92,99.59
"11",12036.56,97.94,99.99,100.5,100.37
"12",12239.6,102.4,100.63,102.14,101.77
"13",11846.67,98.94,99.49,98.79,97.77
"14",12190.07,101.55,100.86,101.4,101.6
"15",12202.23,101.29,101.27,100.74,102.38
"16",12117.39,100.69,100.11,101.33,100.31
"17",12037.36,100.6,99.33,100.47,99.95
"18",12027.76,100,99.81,100.86,99.73
"19",11659.72,97.43,98.1,96.29,96.83
"20",11974.57,100.24,98.3,98.58,100.63
"21",11931.18,99.94,98.79,99.76,98.89
"22",12002.72,99.79,98.43,100.33,100.14
"23",12168.06,100.52,101.32,101.28,101.37
"24",11947.18,99.26,99.09,98.86,99.82
"25",11996.02,99.91,100.51,99.84,99.19
"26",11859.65,98.2,98.68,99.22,98.66
"27",12004.48,100.56,100.41,99.62,99.59
"28",11895.63,98.85,98.95,99.26,98.49
"29",11909.59,98.89,99.57,100.24,97.56
"30",11962.73,99.59,99.24,99.82,98.81
"31",11975.64,100.62,98.33,99.94,99.25
"32",12312.99,102.52,102.72,101.67,103.2
"33",11903.51,99.65,98.21,99.49,98.85
"34",12210.85,102.15,101.61,100.86,101.63
"35",11993.18,99.18,98.64,100.09,100.2
"36",12067.48,100.28,101.16,99.54,100.37
"37",12024.93,99.94,100.09,100.11,100.01
"38",12136.2,101.23,100.86,101.12,100.72
"39",11941.32,99.64,98.16,99.35,99.51
"40",11894.05,98.69,98.23,99.92,98.27
"41",11800.84,98.46,97.8,97.57,98.09
"42",12146.25,100.31,102.46,100.6,100.97
"43",11878.83,97.87,99.51,98.29,99.39
"44",12149.93,100.51,100.19,100.97,101.92
"45",12159.27,102.75,100.39,101.58,100.47
"46",11987.05,100.84,99.93,99.78,99.01
"47",11919.65,99.16,98.99,99.92,98.51
"48",12002.57,100.97,99.62,99.77,99.25
"49",11844.74,99.53,98.53,97.37,99.08
"50",11925.34,99.07,99.11,99.17,99.53
"51",11978.41,100.3,99.9,99.81,98.88
"52",11864.09,98.8,98.37,98.16,99.19
"53",12057.23,100.11,100.89,100.12,100.27
"54",12100.5,100.91,99.15,100.93,100.78
"55",11861.88,97.71,98.52,99.07,99.35
"56",11876.29,98.5,97.98,99.64,98.38
"57",11983.44,98.8,98.74,99.22,101.17
"58",11987.93,99.24,99.77,100.24,99.5
"59",12270.95,102.6,103.2,101.49,101.64
"60",12062.87,100.48,100.08,100.05,100.6
"61",11982.26,99.07,99.03,99.63,99.96
"62",11881.68,98.79,98.78,98.19,99.1
"63",11868.15,97.56,98.39,98.83,99.25
"64",11952.45,98.19,98.79,99.78,99.51
"65",12065.57,100.58,99.61,101.29,99.56
"66",11806.43,98.06,97.36,97.39,99.15
"67",12029.18,99.86,99.4,101.3,99.44
"68",12159.84,102.15,101.14,101.5,100.39
"69",12038.36,99.78,98.21,100.44,100.27
"70",11817.66,98.28,98.9,97.92,98.35
"71",11989.83,99.5,99.44,99.53,100.04
"72",11965.78,99.85,100.21,99.09,99.32
"73",12032.31,100.08,100.81,98.89,100.45
"74",12064.08,100.42,101.04,99.67,100.27
"75",11901.9,98.45,97.99,99.14,99.38
"76",12000.29,100.13,99.89,99.42,100.21
"77",12095.32,100.26,100.47,99.87,101.43
"78",12086.59,100.21,100.33,100.26,101.41
"79",12234.21,102.28,101.66,102.67,100.57
"80",12039.65,99.97,99.89,101.12,99.29
"81",11986.33,99.72,100.31,99.11,99.97
"82",12010.55,99.76,101.68,98.68,100.52
"83",11973.19,99.53,99.61,98.76,100.22
"84",11902.05,98.15,99.58,99.68,98.35
"85",12004.96,99.36,100.18,100.37,99.51
"86",11850.49,97.51,98.7,98.8,98.42
"87",12034.88,99.54,99.37,99.96,100.87
"88",12026.78,100.63,99.27,99.58,100.45
"89",12261.91,102.04,101.69,101.36,102.53
"90",11969.46,99.35,99.1,99.67,100.28
"91",12004.6,99.75,100.34,99.35,99.97
"92",12033.55,99.63,99.99,99.96,100.02
"93",11973.77,100.27,98.71,100.37,99.41
"94",12054.2,98.69,100.42,100.88,100.48
"95",11938.54,100.33,98.64,99.52,99.27
"96",12031.63,101.71,99.44,100.04,99.05
"97",12023.23,99.33,100.65,100.51,99.27
"98",12134.88,101.75,101.28,100.95,100.43
"99",12035.19,100.84,101.19,99.54,99.6
"100",11971.89,99.61,98.99,100.41,99.17
"101",12018.07,100.02,99.6,99.18,100.63
"102",12131.98,100.88,100.46,100.75,101.35
"103",12120.73,100.38,101.13,100.27,101.01
"104",12272.41,101.65,101.44,102.12,102.57
"105",12099.83,99.8,100.55,99.74,101.77
"106",12030.02,99.33,100.63,100.32,99.75
"107",11890.38,98.45,98.39,99.12,98.79
"108",11787.51,98.18,97.79,97.08,98.7
"109",12103.32,100.82,100.28,100.18,101.24
"110",11923.76,99.63,100.24,98.63,99.44
"111",11777.42,98.95,98.11,97.66,97.83
"112",12072.85,100.94,101.34,100.55,99.21
"113",11966.02,98.87,99.87,99.53,99.42
"114",11902.84,99.52,98.92,99.29,98.38
"115",12100.35,101.3,99.59,101.15,100.21
"116",11936.26,99.42,99.5,99.41,99.19
"117",12047.73,100.15,100.27,99.53,100.4
"118",11877.18,98.7,99.52,99.04,98.38
"119",11803.56,99.3,97.66,97.93,98.05
"120",12066.93,101.41,101,99.73,100.34
"121",12028.54,100.58,100.43,99.23,100.26
"122",11915.77,98.55,98.35,99.65,98.76
"123",11875.55,97.32,99.21,99.55,98.68
"124",12147.02,102.23,100.99,100.12,101.52
"125",12030.25,99.06,99.88,100.86,99.58
"126",12210.39,101.95,100.78,101.57,101.7
"127",12059.54,100.07,100.15,99.44,101.17
"128",11875.75,98.31,98,98.86,99.1
"129",12063.82,100.09,100.01,101.45,99.81
"130",12253.54,100.5,103.01,101.11,102.23
"131",11914.97,98.6,99.65,98.44,99.7
"132",12004.51,100.7,100.37,99.33,99.77
"133",12018.36,99.53,100.13,100.51,99.51
"134",12078.09,100.34,99.93,101.44,99.76
"135",11885.43,98.1,98.21,98.72,99.59
"136",12115.34,101.39,101.19,100.48,100.38
